Price,Close,High,Low,Open,Volume
Ticker,^CRSLDX,^CRSLDX,^CRSLDX,^CRSLDX,^CRSLDX
Date,,,,,
2015-01-01,6786.09130859375,6794.2412003821,6754.991251216998,6767.591332554148,4409100
2015-01-02,6866.44140625,6883.040994377485,6792.391208065692,6792.391208065692,6177400
2015-01-05,6857.44140625,6913.24113941996,6848.241222729214,6877.341283088426,6143300
2015-01-06,6656.791015625,6817.640900908698,6646.391127012381,6817.640900908698,7169100
2015-01-07,6644.94140625,6680.491163916913,6605.391165593153,6653.641101774426,7233000
2015-01-08,6755.44140625,6758.241207294862,6707.991272671762,6715.341360765294,6548900
2015-01-09,6782.9912109375,6811.290978955569,6727.3413807020315,6798.441386230432,6561500
2015-01-12,6815.041015625,6819.09130337027,6763.191473118104,6790.591340125435,5650600
2015-01-13,6801.39111328125,6846.6913477110065,6777.691436875784,6835.241167194943,6331000
2015-01-14,6787.14111328125,6828.891059216825,6759.54105136592,6810.191376400878,6173400
2015-01-15,6937.49072265625,6962.140592036307,6870.941006964124,6897.140678959167,9081800
2015-01-16,6961.44091796875,6970.940905308347,6913.3408844142505,6945.09084210185,7934000
2015-01-19,6992.140625,7013.290499281578,6984.440928184897,6988.290532452147,7531300
2015-01-20,7080.640625,7088.54051699299,7013.140713441134,7013.140713441134,7155300
2015-01-21,7099.5908203125,7116.990699919072,7071.8906611970015,7100.490721480311,7401500
2015-01-22,7121.8408203125,7136.090801749607,7092.940955615475,7111.640638287379,8283700
2015-01-23,7170.24072265625,7191.890596987924,7137.440960407307,7175.99071521652,8537100
2015-01-27,7229.04052734375,7236.790517397849,7169.790603381768,7197.7407628246065,7533900
2015-01-28,7241.54052734375,7290.440855321148,7210.640664586694,7224.74074417893,8362700
2015-01-29,7257.24072265625,7264.540518012006,7203.2407916874345,7234.390654210542,9683700
2015-01-30,7166.69091796875,7293.240558836639,7140.140659369541,7293.240558836639,11510300
2015-02-02,7172.890625,7196.590789658948,7141.990762621817,7164.590831047369,8626700
2015-02-03,7137.44091796875,7203.740636478965,7124.190935191259,7196.740645577649,8735100
2015-02-04,7108.74072265625,7164.790454195404,7095.290544897059,7164.790454195404,9251200
2015-02-05,7076.640625,7176.690786804856,7056.390651547337,7116.7904747080465,8018500
2015-02-06,7029.44091796875,7087.190841751324,7019.690930836628,7070.040473761105,7899700
2015-02-09,6922.3408203125,6978.640549546919,6915.440927216009,6973.340751962225,7091200
2015-02-10,6959.890625,7022.9408339245465,6888.040623117837,6889.240816830511,8353200
2015-02-11,7031.79052734375,7040.440906555932,6990.340874998809,6990.440972522996,7430400
2015-02-12,7108.19091796875,7117.190906222304,7032.191017160965,7071.140673356587,8811900
2015-02-13,7176.19091796875,7186.290514287042,7129.790587329865,7134.090874739225,8534500
2015-02-16,7174.99072265625,7227.040460042854,7161.990739465375,7200.5907872113285,9275200
2015-02-18,7228.54052734375,7242.44090012856,7182.190977455269,7182.190977455269,10676600
2015-02-19,7242.8408203125,7258.940897346186,7167.9908185315035,7245.540523885704,9192900
2015-02-20,7209.390625,7250.740669445293,7194.890643659179,7250.740669445293,8752600
2015-02-23,7147.54052734375,7237.140508701279,7134.490739594576,7233.3407089458315,7086600
2015-02-24,7146.5908203125,7171.440885709649,7123.190948345284,7162.540506638672,7424400
2015-02-25,7144.19091796875,7204.740644027245,7134.240735577414,7177.440874790834,6718500
2015-02-26,7077.49072265625,7154.740621395239,7066.04054235292,7154.740621395239,8402100
2015-02-27,7210.29052734375,7217.040518658664,7111.090947950713,7111.090947950713,11155200
2015-03-02,7299.64013671875,7307.990223204064,7234.940516244127,7281.840355844202,9573800
2015-03-03,7345.5400390625,7352.590322658158,7288.040115506531,7309.490282301824,8525200
2015-03-04,7279.7900390625,7428.090133091019,7260.5903577870595,7426.789841866572,10964100
2015-03-05,7303.34033203125,7314.790023752602,7238.490321088868,7287.790059855469,8043700
2015-03-09,7171.49072265625,7267.1405012634,7162.290539245497,7267.1405012634,7493000
2015-03-10,7141.69091796875,7198.990648221596,7116.740755067515,7184.390569531435,6779600
2015-03-11,7126.5908203125,7166.1908664177,7115.790541403474,7156.140586532331,7483600
2015-03-12,7202.5908203125,7209.790518070133,7158.840876664898,7158.840876664898,8047600
2015-03-13,7099.890625,7253.740521622395,7089.190931949913,7253.740521622395,8042700
2015-03-16,7078.94091796875,7111.290484947853,7064.540546216234,7111.040485275491,6214200
2015-03-17,7154.04052734375,7166.390608984442,7087.240809281975,7122.090861744755,6891900
2015-03-18,7137.04052734375,7175.090770851496,7120.6406463179865,7172.640578723968,7576300
2015-03-19,7096.74072265625,7217.690759854608,7086.240736382549,7189.540406029671,7148400
2015-03-20,7028.19091796875,7096.190828207594,7016.040543382473,7096.190828207594,8459200
2015-03-23,6997.5908203125,7053.090746731191,6990.14063487739,7045.790463441092,6166900
2015-03-24,6984.74072265625,7040.140551416273,6980.290533254626,6991.690908737303,6053900
2015-03-25,6972.44091796875,7006.290482304423,6963.690929611251,7005.240679013763,6087400
2015-03-26,6846.2412109375,6945.640985673881,6836.141126247529,6934.191293341509,8532100
2015-03-27,6846.59130859375,6894.741149126894,6778.441493734845,6889.091254035991,7254100
2015-03-30,6969.94091796875,6976.740713605378,6889.191025450939,6889.340927595162,5845800
2015-03-31,6978.140625,7020.790470641356,6952.340854612946,7001.690886658995,7307600
2015-04-01,7060.19091796875,7068.840808946234,6964.640750556343,6975.790638248741,6154000
2015-04-06,7126.74072265625,7131.540521095539,7059.640712348465,7087.040579024019,7069400
2015-04-07,7144.390625,7158.090802522143,7083.64070388677,7148.840814533709,7985300
2015-04-08,7193.5908203125,7205.7407069869305,7168.390657499843,7176.690939763985,8562100
2015-04-09,7233.99072265625,7237.340816016121,7171.090900979353,7229.890630258227,7634100
2015-04-10,7246.04052734375,7251.440911054461,7217.4409545857225,7235.990735523329,7287500
2015-04-13,7286.1904296875,7291.990226601577,7245.590386447176,7266.140163591967,6252500
2015-04-15,7224.19091796875,7299.540430579512,7205.440942047568,7299.540430579512,7610100
2015-04-16,7183.3408203125,7233.840755091419,7134.490785746471,7233.840755091419,6470300
2015-04-17,7093.8408203125,7180.390511810085,7087.090829140156,7180.390511810085,5534700
2015-04-20,6957.99072265625,7104.640429466577,6932.990755989621,7104.640429466577,5756900
2015-04-21,6907.99072265625,6977.090727512072,6890.090844351809,6943.490674980265,8332700
2015-04-22,6937.99072265625,6948.490708615876,6836.640760523162,6928.2905403146415,6349800
2015-04-23,6922.390625,7002.540419927506,6899.490753346512,6978.340745328506,5479500
2015-04-24,6826.541015625,6931.540880439352,6804.191435024728,6931.540880439352,6075600
2015-04-27,6723.89111328125,6846.691245733117,6715.891123738351,6846.691245733117,6531900
2015-04-28,6794.64111328125,6807.9911936687895,6698.4415306869105,6720.641209002241,6672000
2015-04-29,6781.69140625,6823.091254939604,6757.891144126356,6793.691390698037,5977500
2015-04-30,6749.64111328125,6771.040987759098,6714.941451434253,6771.040987759098,8733500
2015-05-04,6873.39111328125,6883.1913937183,6788.541124123389,6790.791121246299,5730700
2015-05-05,6878.4912109375,6900.44137820295,6847.391153019667,6880.641110534194,5936000
2015-05-06,6680.89111328125,6871.890862011068,6671.341321157002,6869.941157544757,7516000
2015-05-07,6616.84130859375,6688.741115433941,6572.691464893652,6667.491143659997,6936200
2015-05-08,6728.89111328125,6752.6410822598,6676.141182181524,6676.141182181524,5867200
2015-05-11,6838.9912109375,6843.291010099155,6765.041110661246,6771.341395533246,5771500
2015-05-12,6689.39111328125,6842.59110730722,6683.141121492994,6842.59110730722,6139400
2015-05-13,6780.39111328125,6793.191389657679,6677.941539049966,6733.291076678287,6996000
2015-05-14,6796.7412109375,6804.141103712234,6719.991310185014,6778.491234537071,6160600
2015-05-15,6827.041015625,6842.141093841564,6798.741247370331,6813.091326552436,6320000
2015-05-18,6910.8408203125,6916.090813264734,6839.290623395126,6845.840907570556,6265800
2015-05-19,6909.69091796875,6955.040466454869,6886.890655612928,6901.69092870999,6509500
2015-05-20,6944.390625,6966.240693465697,6933.590834740457,6933.790541504908,5362500
2015-05-21,6938.74072265625,6958.140599061674,6909.740761430233,6956.190894637248,5210500
2015-05-22,6964.44091796875,6988.290495573687,6941.390655705294,6951.3408377631395,6060700
2015-05-25,6911.140625,6956.790466064535,6907.09082574885,6953.240666142199,5300200
2015-05-26,6890.5908203125,6921.290486010378,6876.190937356443,6919.490683746093,5125600
2015-05-27,6885.09130859375,6890.541008668265,6842.79106962275,6858.541049517345,5482400
2015-05-28,6867.7412109375,6904.891065738341,6828.091359336056,6895.341273272286,7466200
2015-05-29,6959.8408203125,6963.940912503401,6864.840946945638,6878.490831094336,10415600
2015-06-01,6957.44091796875,6980.640594064578,6947.690930969792,6947.690930969792,5141500
